,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
56,B147NN,2015,11519.714285714286,Q54,13P,406357.0,280956.0,E01008966,E02001933,A1,E12000005,E08000025,10.0,5.156332517813384,0.0,7.247735239146834,7.341595527357718,2.0194627050607,5.579291661618725,0.8252297469965829,0.30240940848001524,0.09410885704045237,21.22432156732712,,,,,,,,,,,0.0
57,B151LZ,2015,13734.75,Q54,04X,406314.0,286081.0,E01033624,E02006895,A1,E12000005,E08000025,72.0,5.416397549248647,0.02870781412397827,6.563191045697335,6.66497640476588,1.8400521213192285,5.383210010648273,0.5270685893078042,0.35323842247320364,0.11932028998369598,20.213650911887015,,,,,,,,,,,0.0
58,B152QU,2015,18950.75,Q54,13P,404311.0,284212.0,E01008992,E02001905,A1,E12000005,E08000025,-103.0,5.742774324023903,0.07003767076097608,6.320627351231706,6.376141539337862,1.08683107431802,4.34642355992417,0.3871181775980572,0.0,0.2426166905815658,18.009326345962993,,,,,,,,,,,0.0
59,B160HH,2015,1861.75,Q54,05L,404022.0,287517.0,E01009152,E02001879,A1,E12000005,E08000025,12.0,2.0025738212678834,0.0,10.419732122416255,10.632115896251834,6.2893224900341,9.959252354749594,0.06629741317022365,0.0,0.0,28.949561975473642,,,,,,,,,,,0.0
60,B160HZ,2015,4290.5,Q54,05L,403903.0,287549.0,E01009152,E02001879,A1,E12000005,E08000025,12.0,2.255793289429265,0.02078782632934612,5.583105891223549,5.735778518136985,2.5089858915674723,5.066883552039082,0.36441558404268815,0.1653636530852821,0.05016255658746999,16.11800831463012,,,,,,,,,,,0.0
61,B160LU,2015,4560.75,Q54,05L,403691.0,287139.0,E01009140,E02001886,A1,E12000005,E08000025,125.0,4.257903124291723,0.0,9.9884700896497,10.341718278812104,2.987034178951317,6.90545723781582,0.1926651556557505,0.0,0.005241371795187566,24.684777975526718,,,,,,,,,,,0.0
62,B168HA,2015,4172.25,Q54,05L,405400.0,286352.0,E01033639,E02006897,A1,E12000005,E08000025,7.0,4.108985409043006,0.11593944861205781,6.691735626010835,6.782014614165238,2.228204202595713,5.166766965085636,1.1480141562841817,0.8032902455276706,0.021641080385192066,20.353215041313504,,,,,,,,,,,0.0
63,B169AL,2015,12709.5,Q54,04X,404739.0,286301.0,E01008987,E02001890,A1,E12000005,E08000025,127.0,5.382194026071858,0.0,6.362736044565282,6.503262087105178,2.0953281552521643,4.8395064173799405,0.43847494817724364,0.6224947333250787,0.021454264974176258,19.881260367311462,,,,,,,,,,,0.0
64,B170HG,2015,10407.0,Q54,04X,403747.0,284516.0,E01009069,E02001901,A1,E12000005,E08000025,6.0,4.783089003237649,0.09055683306812905,5.928950742959149,6.006231549680304,1.3291337581820588,4.250475558507592,0.5676881860695259,0.16377765565991975,0.023646963774200353,17.19095254440518,,,,,,,,,,,0.0
65,B178DP,2015,12561.5,Q54,13P,402853.0,286214.0,E01009147,E02001886,A1,E12000005,E08000025,-101.0,4.0572976038830015,0.1113751125552126,8.826263522755545,8.984147501462969,2.156973763325389,6.486703721878006,0.2543844402646655,0.0,0.04690921185481586,22.050882143369247,,,,,,,,,,,0.0
